Sample File	C:\Users\ccee.gael.shared\Downloads\20130618_1410_SMPS3_BP.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3010
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		24		25		26		27		28		29		30		31		32		33		34		35		36		37		38		39		40		41		42		43		44		45		46		47		48		49		50		51		52		53		54		55		56		57		58		59		60		61		62		63		64		65		66		67		68		69		70		71		72		73		74		75		76		77		78		79		80		81		82		83		84		85		86		87		88		89		90		91		92		93		94		95		96		97		98		99		100		101		102		103		104		105		106		107		108		109		110		111		112		113		114		115		116		117		118		119		120		121		122		123		124		125		126		127		128		129		130		131		132		133		134		135		136		137		138		139		140		141		142		143		144		145		146		147		148		149		150		151		152		153		154		155		156		157		158		159		160
Date	06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13		06/18/13
Start Time	14:09:25		14:11:52		14:14:16		14:16:40		14:19:04		14:21:28		14:23:53		14:26:17		14:28:41		14:31:05		14:33:29		14:35:53		14:38:17		14:40:41		14:43:05		14:45:29		14:47:53		14:50:17		14:52:41		14:55:05		14:57:29		14:59:53		15:02:17		15:04:42		15:07:06		15:09:30		15:11:54		15:14:18		15:16:42		15:19:06		15:21:30		15:23:54		15:26:18		15:28:42		15:31:06		15:33:30		15:35:54		15:38:18		15:40:42		15:43:06		15:45:31		15:47:55		15:50:19		15:52:43		15:55:07		15:57:31		15:59:55		16:02:19		16:04:43		16:07:07		16:09:31		16:11:55		16:14:19		16:16:43		16:19:07		16:21:31		16:23:55		16:26:20		16:28:44		16:31:08		16:33:32		16:35:56		16:38:20		16:40:44		16:43:08		16:45:32		16:47:56		16:50:20		16:52:44		16:55:08		16:57:32		16:59:56		17:02:20		17:04:45		17:07:09		17:09:33		17:11:57		17:14:21		17:16:45		17:19:09		17:21:33		17:23:57		17:26:21		17:28:45		17:31:09		17:33:33		17:35:57		17:38:21		17:40:45		17:43:09		17:45:34		17:47:58		17:50:22		17:52:46		17:55:10		17:57:34		17:59:58		18:02:22		18:04:46		18:07:10		18:09:34		18:11:58		18:14:22		18:16:46		18:19:10		18:21:34		18:23:58		18:26:23		18:28:47		18:31:11		18:33:35		18:35:59		18:38:23		18:40:47		18:43:11		18:45:35		18:47:59		18:50:23		18:52:47		18:55:11		18:57:35		18:59:59		19:02:23		19:04:47		19:07:12		19:09:36		19:12:00		19:14:24		19:16:48		19:19:12		19:21:36		19:24:00		19:26:24		19:28:48		19:31:12		19:33:36		19:36:00		19:38:24		19:40:48		19:43:12		19:45:36		19:48:01		19:50:25		19:52:49		19:55:13		19:57:37		20:00:01		20:02:25		20:04:49		20:07:13		20:09:37		20:12:01		20:14:25		20:16:49		20:19:13		20:21:37		20:24:01		20:26:26		20:28:50		20:31:14
Diameter Midpoint
 12.2	0		0		0		24.6972		0		24.6972		49.3944		0		24.6972		649.306		50320.7		134228		580342		9115.06		145.612		396.172		441.98		374.046		494.455		258.036		109.852		360.412		225.862		335.207		304.351		335.207		162.325		703.909		285.812		324.652		187.023		448.139		289.399		357.333		236.417		202.483		402.331		480.313		505.518		494.455		420.362		222.275		268.591		332.128		211.72		360.412		1641.62		1173.37		2227.99		1640.87		2486.48		2229.44		1573.45		1518.84		2157.92		2161		1586.57		1948.76		1983.57		1994.57		1249.23		1578.59		1615.67		1400.05		735.272		869.013		1094.68		795.731		392.078		818.603		525.818		664.766		830.173		590.166		593.245		505.01		236.417		727.288		840.729		1399.75		1095.18		887.045		1059.12		855.682		1229.74		1090.79		1077.15		1461.46		1268.58		1625.41		632.085		505.01		455.615		742.446		787.444		476.423		522.231		734.765		674.814		236.417		88.2336		900.173		438.901		628.498		843.808		162.325		388.999		610.466		258.036		452.536		523.549		233.338		529.708		187.023		356.825		370.967		430.918		427.838		497.534		579.61		275.257		388.188		286.32		508.089		353.746		398.744		324.652		296.875		632.592		490.868		233.338		219.196		347.588		236.417		74.0917		310.51		448.139		324.652		162.325		431.425		360.412		780.27		455.615		74.0917		236.925		448.139		625.419		519.152		833.253		546.929		780.778		264.701		148.183		0		430.918		727.288		354.253		307.43		211.72		233.338
 12.6	0		45.505		0		0		0		0		0		0		0		257.469		46400.8		141984		531416		2908.24		119.436		73.9309		233.199		204.773		184.857		25.5892		93.8467		139.352		113.763		143.706		119.436		250.278		91.01		200.558		136.515		113.763		68.2575		91.01		136.515		96.6834		120.953		122.273		295.783		146.543		126.627		253.115		230.362		250.278		130.981		230.362		159.268		260.306		558.928		557.41		925.753		819.039		1090.76		827.748		792.27		682.72		1389.72		546.203		650.079		968.481		1238.62		998.425		605.951		652.776		587.494		638.533		273.17		437.973		293.086		496.343		221.991		364.041		287.413		500.697		558.928		324.209		275.867		366.878		204.773		162.104		483.478		711.146		523.45		395.304		487.833		594.545		503.534		411.204		346.962		526.147		837.636		726.708		298.62		116.599		139.352		334.237		389.631		371.232		370.052		445.164		437.973		136.515		68.2575		374.069		190.53		230.362		260.306		159.268		96.6834		431.12		230.362		96.6834		159.407		93.8467		253.115		45.505		351.316		146.543		230.362		187.694		113.763		278.704		196.402		91.01		229.182		318.536		216.457		166.459		68.2575		169.295		354.153		230.362		153.734		176.486		56.8518		182.02		91.01		182.02		295.783		159.268		45.505		497.86		169.295		389.631		230.362		29.9434		146.543		257.469		664.321		321.373		351.316		325.727		422.411		226.346		280.222		68.2575		298.62		305.811		190.53		139.352		136.515		93.8467
 13.1	0		42.1117		0		21.0558		0		0		21.0558		21.0558		0		177.569		45225.9		143524		496052		980.172		63.1676		168.447		84.2234		147.391		100		42.1117		0		105.279		0		119.681		63.1676		78.9443		121.056		35.457		126.335		63.1676		0		0		15.7767		42.1117		77.5688		42.1117		84.2234		114.401		98.6247		147.391		126.335		42.1117		91.97		0		147.391		56.5129		340.738		273.727		298.626		252.671		277.57		318.306		380.099		302.53		545.736		360.419		222.149		414.465		388.129		302.53		323.586		224.96		253.763		214.402		191.97		310.56		313.027		219.681		107.747		63.1676		107.747		170.914		161.792		105.279		126.335		63.1676		126.335		121.056		273.727		234.082		176.194		42.1117		224.96		239.362		70.9141		295.875		184.224		268.448		282.849		393.409		21.0558		21.0558		21.0558		98.6247		189.503		119.681		183.94		135.457		105.279		84.2234		21.0558		177.569		105.279		147.391		182.848		63.1676		84.2234		248.484		21.0558		142.112		70.9141		36.8326		163.168		121.056		98.6247		156.513		42.1117		147.391		105.279		189.503		170.914		42.1117		148.483		200.001		120.772		93.3455		63.1676		203.904		161.792		21.0558		113.026		155.138		63.1676		21.0558		21.0558		105.279		105.279		94.7211		42.1117		218.306		161.792		210.559		78.9443		35.457		119.681		246.016		290.596		136.833		140.736		98.6247		282.849		106.371		98.6247		0		63.1676		224.96		126.335		231.615		36.8326		0
 13.6	0		0		0		19.5704		39.1408		0		0		0		39.1408		47.4669		43584.6		146785		459945		345.931		58.7112		19.5704		19.5704		39.1408		44.0475		19.5704		19.5704		19.5704		39.1408		0		0		24.4771		24.4771		39.1408		19.5704		39.1408		39.1408		19.5704		44.0475		39.1408		0		19.5704		58.7112		44.0475		39.1408		39.1408		0		39.1408		0		39.1408		19.5704		19.5704		205.518		156.564		169.796		39.1408		52.3736		122.329		97.8521		97.8521		130.655		125.749		205.518		78.2817		102.759		176.134		78.2817		143.832		58.7112		71.9441		83.1884		44.0475		48.9542		83.1884		63.6179		58.7112		63.6179		86.6078		58.7112		19.5704		120.842		62.1307		0		4.90669		19.5704		63.6179		0		58.7112		39.1408		120.842		97.8521		39.1408		24.4771		148.739		184.46		78.2817		19.5704		19.5704		39.1408		58.7112		117.423		19.5704		39.1408		47.4669		97.8521		0		58.7112		63.6179		19.5704		0		39.1408		19.5704		39.1408		63.6179		39.1408		83.1884		78.2817		47.4669		44.0475		8.32611		39.1408		4.90669		39.1408		19.5704		78.2817		62.1307		4.90669		58.7112		136.993		88.0951		117.423		83.1884		39.1408		97.8521		120.842		78.2817		3.41942		58.7112		42.5602		58.7112		0		39.1408		19.5704		32.8032		19.5704		97.8521		120.842		78.2817		102.759		0		19.5704		156.564		122.329		68.5246		97.8521		62.1307		63.6179		0		19.5704		0		22.9898		58.7112		58.7112		58.7112		24.4771		39.1408
 14.1	0		0		0		0		36.5615		18.2807		0		18.2807		0		62.4717		40252.3		145969		428879		153.876		18.2807		18.2807		0		18.2807		0		36.5615		18.2807		0		18.2807		0		18.2807		18.2807		54.8423		91.4038		0		36.5615		18.2807		0		0		18.2807		36.5615		18.2807		36.5615		0		18.2807		18.2807		73.123		18.2807		18.2807		0		36.5615		0		18.2807		102.227		88.2097		47.3851		62.4717		54.8423		54.8423		0		33.3674		25.9102		36.5615		54.8423		0		54.8423		36.5615		66.7349		36.5615		25.9102		18.2807		29.1043		18.2807		18.2807		36.5615		65.6658		54.8423		69.9289		0		18.2807		69.9289		33.3674		18.2807		18.2807		18.2807		29.1043		29.1043		0		36.5615		69.9289		54.8423		18.2807		54.8423		103.296		88.2097		36.5615		18.2807		47.3851		0		18.2807		18.2807		0		0		51.6482		18.2807		36.5615		18.2807		18.2807		36.5615		18.2807		18.2807		0		18.2807		18.2807		36.5615		0		18.2807		51.6482		0		62.4717		0		54.8423		0		36.5615		73.123		15.0867		36.5615		54.8423		29.1043		18.2807		0		18.2807		36.5615		18.2807		106.491		18.2807		51.6482		36.5615		15.0867		18.2807		47.3851		18.2807		18.2807		15.0867		0		36.5615		33.3674		47.3851		36.5615		18.2807		18.2807		18.2807		36.5615		36.5615		47.3851		88.2097		18.2807		36.5615		0		0		15.0867		18.2807		18.2807		0		54.8423		36.5615
 14.6	0		0		0		0		0		17.1271		0		17.1271		17.1271		75.5123		38109.5		150451		395382		75.495		0		17.1271		17.1271		17.1271		17.1271		0		17.1271		34.2542		17.1271		34.2542		0		0		0		0		17.1271		17.1271		0		34.2542		17.1271		0		0		0		0		34.2542		17.1271		0		34.2542		34.2542		0		0		0		51.3813		17.1271		6.98658		85.6355		58.3679		24.1137		17.1271		0		34.2542		34.2542		58.3679		17.1271		0		34.2542		17.1271		0		17.1444		17.1444		7.00391		0.017331		6.98658		34.2542		17.1271		0		58.3679		17.1271		0		34.2542		17.1271		34.2542		17.1271		0		34.2542		0		24.1137		24.1137		17.1271		0		0		17.1271		17.1271		0		68.5084		17.1271		17.1271		0		6.98658		0		34.2542		34.2542		34.2542		51.3813		0		0		0		34.2542		0		0		17.1271		34.2542		34.2542		0		17.1271		17.1271		17.1271		17.1271		0		34.2542		6.98658		0		0		0		0		17.1444		0		0		34.2715		6.98658		0		34.2542		17.1271		0		0		17.1271		0.017331		0		17.1271		0		17.1271		6.98658		0		34.2542		17.1271		17.1271		17.1271		0		41.2407		68.5084		17.1271		17.1271		34.2542		0.017331		17.1271		41.2407		17.1271		17.1271		17.1271		0		17.1271		17.1271		34.2715		34.2542		17.1271		51.3813		34.2542
 15.1	16.1351		0		0		6.47351		0		0		0		0		0		38.7275		36986.6		151524		378432		112.946		16.1351		16.1351		0		0		16.1351		16.1351		48.4054		0		0		0		0		16.1351		16.1351		64.5406		0		6.47351		0		0		0		0		16.1351		16.1351		0		16.1351		0		16.1351		32.2703		0		0		0		0		0		0		64.5406		80.6758		16.1351		0		22.6087		16.1351		0		0		48.4054		16.1351		0		0		16.1351		0		16.1188		32.254		16.1188		16.1188		0		32.2703		0		0		16.1351		0		0		0		0		0		32.2703		0		0		0		16.1351		16.1351		0		16.1351		0		32.2703		16.1351		0		16.1351		16.1351		32.2703		0		16.1351		0		0		0		0		32.2703		0		0		0		0		16.1351		32.2703		0		0		16.1351		0		22.6087		0		0		0		0		0		0		32.2703		22.6087		0		0		16.1188		0		0		32.254		0		16.1351		16.1351		0		32.2703		16.1351		16.1351		16.1188		32.2703		16.1351		0		0		6.47351		0		0		16.1351		0		16.1351		16.1351		48.4054		16.1351		0		16.1351		16.1351		87.133		32.2703		32.2703		16.1351		48.4054		0		0		32.2703		0		48.3891		16.1351		16.1351		0		32.2703
