Na,CDNC
100.211, 90.9722
102.8481, 91.6667
102.8481, 92.3611
105.4852, 93.0556
105.4852, 93.75
105.4852, 94.4444
108.1224, 94.4444
110.7595, 95.1389
110.7595, 95.8333
110.7595, 96.5278
110.7595, 97.2222
110.7595, 97.9167
110.7595, 98.6111
113.3966, 99.3056
113.3966, 100.0
116.0338, 100.6944
116.0338, 101.3889
116.0338, 102.0833
118.6709, 102.7778
118.6709, 103.4722
118.6709, 104.1667
121.308, 104.8611
121.308, 105.5556
123.9451, 106.25
123.9451, 106.9444
123.9451, 107.6389
126.5823, 108.3333
126.5823, 109.0278
126.5823, 109.7222
126.5823, 110.4167
126.5823, 111.1111
126.5823, 111.8056
129.2194, 112.5
129.2194, 113.1944
129.2194, 113.8889
131.8565, 114.5833
131.8565, 115.2778
134.4937, 115.2778
134.4937, 115.9722
137.1308, 116.6667
137.1308, 117.3611
139.7679, 118.0556
142.4051, 118.75
142.4051, 119.4444
145.0422, 120.1389
145.0422, 120.8333
145.0422, 121.5278
147.6793, 122.2222
147.6793, 122.9167
150.3165, 123.6111
150.3165, 124.3056
152.9536, 125.0
152.9536, 125.6944
152.9536, 126.3889
155.5907, 127.0833
155.5907, 127.7778
158.2278, 128.4722
158.2278, 129.1667
158.2278, 129.8611
160.865, 130.5556
160.865, 131.25
163.5021, 131.9444
163.5021, 132.6389
166.1392, 133.3333
166.1392, 134.0278
166.1392, 134.7222
168.7764, 135.4167
171.4135, 136.1111
171.4135, 136.8056
174.0506, 137.5
174.0506, 138.1944
176.6878, 138.8889
176.6878, 139.5833
176.6878, 140.2778
179.3249, 140.9722
179.3249, 141.6667
181.962, 142.3611
181.962, 143.0556
184.5992, 143.75
184.5992, 144.4444
187.2363, 145.1389
187.2363, 145.8333
189.8734, 146.5278
189.8734, 147.2222
192.5105, 147.9167
192.5105, 148.6111
195.1477, 149.3056
195.1477, 150.0
197.7848, 150.6944
200.4219, 151.3889
200.4219, 152.0833
203.0591, 152.7778
203.0591, 153.4722
203.0591, 154.1667
205.6962, 154.8611
205.6962, 155.5556
208.3333, 156.25
210.9705, 156.9444
210.9705, 157.6389
213.6076, 158.3333
213.6076, 159.0278
216.2447, 159.7222
216.2447, 160.4167
218.8819, 161.1111
221.519, 161.8056
221.519, 162.5
224.1561, 163.1944
224.1561, 163.8889
226.7932, 164.5833
226.7932, 165.2778
229.4304, 165.9722
232.0675, 166.6667
232.0675, 167.3611
234.7046, 168.0556
237.3418, 168.75
237.3418, 169.4444
239.9788, 170.1389
242.616, 170.8333
242.616, 171.5278
245.2532, 172.2222
245.2532, 172.9167
247.8902, 172.9167
247.8902, 173.6111
250.5274, 174.3056
250.5274, 175.0
253.1646, 175.6944
