Na,CDNC
308.5443, 182.6389
311.1814, 182.6389
313.8186, 182.6389
316.4557, 183.3333
319.0928, 184.0278
321.73, 184.7222
324.3671, 185.4167
327.0042, 186.1111
329.6414, 186.8056
332.2785, 187.5
334.9156, 188.1944
337.5527, 188.8889
340.1899, 189.5833
342.827, 190.2778
345.4641, 190.9722
348.1013, 191.6667
350.7384, 192.3611
353.3755, 193.0556
356.0127, 193.75
358.6498, 194.4444
358.6498, 195.1389
361.2869, 195.1389
361.2869, 195.8333
363.9241, 196.5278
366.5612, 197.2222
369.1983, 197.9167
371.8354, 198.6111
371.8354, 199.3056
374.4726, 200.0
377.1097, 200.0
379.7468, 200.6944
382.384, 200.6944
385.0211, 201.3889
387.6582, 201.3889
390.2953, 202.0833
392.9325, 202.7778
395.5695, 203.4722
398.2068, 204.1667
400.8439, 204.1667
403.4809, 204.8611
406.1181, 205.5556
408.7553, 206.25
411.3924, 206.9444
414.0295, 206.9444
416.6667, 206.9444
419.3038, 207.6389
419.3038, 208.3333
421.9409, 208.3333
421.9409, 209.0278
424.5781, 209.7222
427.2152, 209.7222
429.8523, 209.7222
432.4895, 210.4167
435.1266, 211.1111
437.7637, 211.8056
440.4008, 212.5
443.038, 213.1944
445.6751, 213.8889
448.3122, 213.8889
448.3122, 214.5833
450.9494, 214.5833
453.5865, 215.2778
456.2236, 215.9722
458.8608, 215.9722
458.8608, 216.6667
461.4979, 216.6667
464.135, 217.3611
466.7722, 217.3611
469.4093, 217.3611
472.0464, 218.0556
474.6835, 218.75
477.3207, 218.75
479.9578, 219.4444
482.5949, 220.1389
485.2321, 220.1389
487.8692, 220.8333
490.5063, 221.5278
493.1435, 222.2222
495.7806, 222.9167
