Na,CDNC
303.27, 87.5
305.9072, 87.5
308.5443, 87.5
311.1814, 87.5
311.1814, 88.1944
313.8186, 88.8889
316.4557, 88.8889
319.0928, 89.5833
319.0928, 90.2778
321.73, 90.2778
321.73, 90.9722
324.3671, 91.6667
327.0042, 91.6667
329.6414, 92.3611
329.6414, 93.0556
332.2785, 93.0556
332.2785, 93.75
334.9156, 94.4444
337.5527, 95.1389
340.1899, 95.8333
342.827, 96.5278
345.4641, 97.2222
348.1013, 97.9167
350.7384, 98.6111
353.3755, 99.3056
353.3755, 100.0
356.0127, 100.0
356.0127, 100.6944
358.6498, 100.6944
361.2869, 100.6944
363.9241, 100.6944
366.5612, 101.3889
369.1983, 102.0833
371.8354, 102.7778
371.8354, 103.4722
374.4726, 103.4722
374.4726, 104.1667
377.1097, 104.8611
379.7468, 105.5556
382.384, 106.25
385.0211, 106.9444
387.6582, 107.6389
390.2953, 107.6389
392.9325, 107.6389
395.5695, 108.3333
398.2068, 109.0278
400.8439, 109.7222
400.8439, 110.4167
403.4809, 110.4167
403.4809, 111.1111
406.1181, 111.8056
408.7553, 112.5
411.3924, 113.1944
414.0295, 113.1944
416.6667, 113.1944
419.3038, 113.8889
419.3038, 114.5833
419.3038, 115.2778
419.3038, 115.9722
421.9409, 115.9722
421.9409, 116.6667
421.9409, 117.3611
421.9409, 118.0556
424.5781, 118.75
427.2152, 119.4444
429.8523, 120.1389
432.4895, 120.1389
435.1266, 120.1389
437.7637, 120.8333
440.4008, 120.8333
443.038, 120.8333
445.6751, 121.5278
448.3122, 121.5278
450.9494, 122.2222
453.5865, 122.9167
456.2236, 122.9167
458.8608, 122.9167
461.4979, 123.6111
461.4979, 124.3056
464.135, 124.3056
464.135, 125.0
466.7722, 125.6944
469.4093, 126.3889
472.0464, 127.0833
474.6835, 127.0833
477.3207, 127.0833
479.9578, 127.7778
479.9578, 128.4722
482.5949, 128.4722
482.5949, 129.1667
485.2321, 129.8611
487.8692, 130.5556
490.5063, 131.25
493.1435, 131.25
493.1435, 131.9444
495.7806, 131.9444
498.4177, 132.6389
501.0549, 133.3333
503.692, 134.0278
506.3291, 134.7222
508.9662, 135.4167
511.6034, 135.4167
511.6034, 136.1111
514.2405, 136.1111
516.8776, 136.8056
519.5148, 137.5
522.1519, 138.1944
524.789, 138.8889
527.4262, 138.8889
527.4262, 139.5833
530.0633, 139.5833
532.7004, 140.2778
535.3376, 140.9722
537.9747, 140.9722
537.9747, 141.6667
540.6118, 141.6667
543.2489, 142.3611
545.886, 143.0556
548.5232, 143.75
551.1602, 144.4444
553.7974, 144.4444
553.7974, 145.1389
556.4346, 145.1389
559.0717, 145.8333
561.7088, 146.5278
564.346, 146.5278
564.346, 147.2222
566.983, 147.2222
569.6202, 147.9167
572.2574, 148.6111
574.8944, 149.3056
577.5316, 149.3056
577.5316, 150.0
580.1688, 150.0
582.8058, 150.6944
585.443, 151.3889
588.0802, 152.0833
590.7173, 152.0833
590.7173, 152.7778
593.3544, 152.7778
595.9916, 153.4722
598.6287, 154.1667
601.2658, 154.1667
601.2658, 154.8611
603.903, 154.8611
606.5401, 155.5556
609.1772, 156.25
611.8143, 156.25
611.8143, 156.9444
614.4515, 156.9444
617.0886, 157.6389
619.7257, 158.3333
622.3629, 158.3333
622.3629, 159.0278
625.0, 159.0278
627.6371, 159.7222
630.2743, 159.7222
632.9114, 159.7222
635.5485, 160.4167
635.5485, 161.1111
638.1857, 161.1111
638.1857, 161.8056
640.8228, 161.8056
643.4599, 161.8056
646.097, 162.5
646.097, 163.1944
648.7342, 163.1944
648.7342, 163.8889
651.3713, 164.5833
654.0084, 164.5833
654.0084, 165.2778
656.6456, 165.2778
659.2827, 165.9722
661.9198, 166.6667
664.557, 166.6667
664.557, 167.3611
667.1941, 167.3611
669.8312, 167.3611
672.4684, 167.3611
675.1055, 168.0556
675.1055, 168.75
677.7426, 168.75
677.7426, 169.4444
680.3797, 170.1389
683.0169, 170.1389
683.0169, 170.8333
685.654, 170.8333
688.2911, 170.8333
690.9283, 170.8333
693.5654, 171.5278
693.5654, 172.2222
696.2025, 172.2222
696.2025, 172.9167
698.8397, 172.9167
701.4768, 172.9167
704.1139, 173.6111
704.1139, 174.3056
706.7511, 174.3056
706.7511, 175.0
709.3881, 175.6944
712.0253, 175.6944
712.0253, 176.3889
714.6623, 176.3889
717.2995, 176.3889
719.9367, 176.3889
722.5737, 177.0833
725.211, 177.7778
727.8481, 178.4722
730.4852, 179.1667
733.1224, 179.8611
735.7595, 180.5556
738.3966, 180.5556
738.3966, 181.25
741.0338, 181.25
743.6709, 181.25
746.308, 181.25
748.9451, 181.9444
751.5823, 182.6389
754.2194, 183.3333
756.8565, 184.0278
759.4937, 184.0278
762.1308, 184.0278
764.7679, 184.7222
764.7679, 185.4167
767.4051, 185.4167
767.4051, 186.1111
770.0422, 186.1111
772.6793, 186.8056
775.3165, 186.8056
777.9536, 186.8056
780.5907, 187.5
783.2278, 188.1944
785.865, 188.8889
788.5021, 189.5833
791.1392, 190.2778
793.7764, 190.9722
796.4135, 190.9722
796.4135, 191.6667
799.0506, 191.6667
801.6878, 191.6667
804.3249, 191.6667
806.962, 192.3611
809.5992, 193.0556
812.2363, 193.75
814.8734, 194.4444
817.5105, 194.4444
820.1477, 195.1389
822.7848, 195.8333
825.4219, 195.8333
825.4219, 196.5278
828.0591, 196.5278
830.6962, 197.2222
833.3333, 197.2222
833.3333, 197.9167
835.9705, 197.9167
838.6076, 197.9167
841.2447, 198.6111
843.8819, 199.3056
846.519, 199.3056
849.1561, 200.0
851.7932, 200.0
854.4304, 200.0
857.0675, 200.6944
859.7046, 201.3889
862.3418, 202.0833
864.9788, 202.7778
867.616, 202.7778
870.2532, 203.4722
872.8902, 203.4722
875.5274, 204.1667
878.1646, 204.8611
880.8016, 204.8611
883.4388, 205.5556
886.0759, 206.25
888.713, 206.25
891.3502, 206.9444
893.9872, 207.6389
896.6245, 207.6389
899.2616, 208.3333
901.8987, 208.3333
904.5359, 208.3333
907.173, 209.0278
909.8101, 209.0278
912.4473, 209.7222
915.0844, 210.4167
917.7215, 211.1111
920.3586, 211.8056
922.9958, 211.8056
925.6329, 212.5
928.27, 213.1944
930.9072, 213.1944
933.5443, 213.8889
936.1814, 213.8889
938.8186, 213.8889
941.4557, 214.5833
944.0928, 215.2778
946.73, 215.9722
949.3671, 215.9722
952.0042, 216.6667
954.6414, 216.6667
957.2785, 216.6667
959.9156, 217.3611
962.5527, 218.0556
965.1899, 218.75
967.827, 218.75
970.4641, 219.4444
973.1013, 219.4444
975.7384, 219.4444
975.7384, 220.1389
978.3755, 220.8333
981.0127, 220.8333
