Na,CDNC
76.4768, 46.5278
76.4768, 47.2222
76.4768, 47.9167
79.1139, 47.9167
79.1139, 48.6111
81.7511, 49.3056
81.7511, 50.0
81.7511, 50.6944
81.7511, 51.3889
81.7511, 52.0833
81.7511, 52.7778
81.7511, 53.4722
81.7511, 54.1667
81.7511, 54.8611
84.3881, 55.5556
84.3881, 56.25
84.3881, 56.9444
84.3881, 57.6389
87.0253, 58.3333
87.0253, 59.0278
87.0253, 59.7222
87.0253, 60.4167
87.0253, 61.1111
89.6623, 61.8056
89.6623, 62.5
89.6623, 63.1944
89.6623, 63.8889
92.2995, 64.5833
92.2995, 65.2778
92.2995, 65.9722
92.2995, 66.6667
94.9367, 67.3611
94.9367, 68.0556
94.9367, 68.75
94.9367, 69.4444
97.5737, 70.1389
97.5737, 70.8333
97.5737, 71.5278
97.5737, 72.2222
97.5737, 72.9167
100.211, 73.6111
100.211, 74.3056
100.211, 75.0
100.211, 75.6944
102.8481, 76.3889
102.8481, 77.0833
102.8481, 77.7778
102.8481, 78.4722
105.4852, 79.1667
105.4852, 79.8611
105.4852, 80.5556
105.4852, 81.25
105.4852, 81.9444
108.1224, 82.6389
108.1224, 83.3333
108.1224, 84.0278
108.1224, 84.7222
110.7595, 85.4167
110.7595, 86.1111
110.7595, 86.8056
110.7595, 87.5
113.3966, 88.1944
113.3966, 88.8889
113.3966, 89.5833
113.3966, 90.2778
116.0338, 90.9722
116.0338, 91.6667
116.0338, 92.3611
116.0338, 93.0556
116.0338, 93.75
116.0338, 94.4444
118.6709, 95.1389
118.6709, 95.8333
118.6709, 96.5278
121.308, 97.2222
121.308, 97.9167
123.9451, 98.6111
123.9451, 99.3056
123.9451, 100.0
126.5823, 100.6944
126.5823, 101.3889
126.5823, 102.0833
129.2194, 102.7778
129.2194, 103.4722
131.8565, 104.1667
131.8565, 104.8611
131.8565, 105.5556
134.4937, 105.5556
137.1308, 106.25
137.1308, 106.9444
139.7679, 107.6389
142.4051, 108.3333
142.4051, 109.0278
142.4051, 109.7222
142.4051, 110.4167
142.4051, 111.1111
145.0422, 111.8056
145.0422, 112.5
145.0422, 113.1944
145.0422, 113.8889
147.6793, 113.8889
150.3165, 113.8889
150.3165, 114.5833
152.9536, 115.2778
152.9536, 115.9722
152.9536, 116.6667
155.5907, 117.3611
155.5907, 118.0556
155.5907, 118.75
155.5907, 119.4444
155.5907, 120.1389
155.5907, 120.8333
158.2278, 121.5278
158.2278, 122.2222
160.865, 122.9167
160.865, 123.6111
163.5021, 124.3056
163.5021, 125.0
163.5021, 125.6944
166.1392, 126.3889
166.1392, 127.0833
166.1392, 127.7778
168.7764, 128.4722
168.7764, 129.1667
171.4135, 129.8611
174.0506, 130.5556
174.0506, 131.25
174.0506, 131.9444
176.6878, 132.6389
176.6878, 133.3333
179.3249, 134.0278
179.3249, 134.7222
181.962, 135.4167
184.5992, 136.1111
184.5992, 136.8056
187.2363, 137.5
187.2363, 138.1944
189.8734, 138.8889
189.8734, 139.5833
192.5105, 140.2778
195.1477, 140.9722
195.1477, 141.6667
197.7848, 142.3611
197.7848, 143.0556
200.4219, 143.75
200.4219, 144.4444
203.0591, 145.1389
205.6962, 145.8333
205.6962, 146.5278
208.3333, 147.2222
208.3333, 147.9167
210.9705, 148.6111
210.9705, 149.3056
213.6076, 150.0
216.2447, 150.6944
216.2447, 151.3889
218.8819, 152.0833
218.8819, 152.7778
221.519, 153.4722
224.1561, 154.1667
226.7932, 154.8611
226.7932, 155.5556
229.4304, 156.25
232.0675, 156.9444
234.7046, 157.6389
234.7046, 158.3333
237.3418, 159.0278
239.9788, 159.7222
239.9788, 160.4167
242.616, 161.1111
245.2532, 161.8056
247.8902, 162.5
247.8902, 163.1944
250.5274, 163.8889
253.1646, 164.5833
255.8016, 165.2778
255.8016, 165.9722
258.4388, 166.6667
261.0759, 167.3611
261.0759, 168.0556
263.713, 168.75
266.3502, 169.4444
268.9872, 170.1389
268.9872, 170.8333
271.6245, 171.5278
274.2616, 172.2222
276.8987, 172.9167
279.5359, 173.6111
279.5359, 174.3056
282.173, 174.3056
284.8101, 174.3056
287.4473, 174.3056
287.4473, 175.0
287.4473, 175.6944
287.4473, 176.3889
287.4473, 177.0833
287.4473, 177.7778
