min,mean,max,z
93.7967,147.5662,201.3357,1935.0
89.5059,144.1298,198.7528,2188.125
86.0678, 140.6925,197.876,2450.625
82.6314,140.6683,197.8518,2722.5
80.0521, 140.6475,202.0976,2956.875
76.6136, 139.7723,201.2216,3200.625
76.5903,140.6008,205.4665,3481.875
76.5669,143.1379,208.0036,3744.375
72.277,140.5533,205.4199,4016.25
71.3994,138.0218,206.2508,4260.0
68.8181,136.2434,201.9634,4494.375
66.2343,131.1,198.5236,4747.5
61.9443,127.6602,195.0863,5038.125
55.0931,120.8115,188.2351,5272.5
48.2419,113.9611,177.9725,5525.625
40.5389,103.6951,167.7081,5797.5
33.6885,96.8464,157.4455,6031.875
27.6916,86.5812,147.1795,6294.375
26.8148,82.2905,136.9135,6556.875
27.6449,78.8549,125.7949,6800.625
29.3294,74.5633,124.0646,7072.5
25.0378,70.2732,115.5072,7325.625
20.7495,65.1307,106.0972,7569.375
17.3114,57.4269,94.9811,7822.5
18.9967,52.2851,81.302,8056.875
14.7067,40.3113,62.1212,8338.125
4.44,29.1927,54.7964,8600.625
3.5648,22.3456,41.1173,8816.25
0.0,14.6393,27.4382,9097.5
0.0,9.4942,20.5895,9369.375
