min,mean,max,z
364.3523,757.8096,1146.9989,1925.625
294.3457,672.4412,1044.559,2160.0
246.5297,606.6987,970.2842,2394.375
220.05,569.1262,921.6138,2638.125
206.3742,541.7913,875.5056,2863.125
209.7631,524.7016,840.4894,3144.375
203.7696,511.8784,819.1315,3360.0
192.6542,494.7863,792.6534,3585.0
166.152,459.7501,764.4659,4081.875
158.4482,445.2208,733.6979,4335.0
147.332,432.3969,717.4609,4569.375
127.6835,400.7971,665.3766,4775.625
118.2735,370.9043,620.9737,5019.375
96.0379,312.3588,545.8237,5500.625
83.2131,288.9047,494.5946,5778.75
64.3939,216.3151,367.3811,6256.875
54.1105,162.5022,265.7731,6725.625
52.3826,138.583,224.7858,6960.0
45.5339,118.9327,191.479,7194.375
40.3897,100.9888,160.7319,7456.875
30.9797,83.0431,131.6926,7700.625
19.8635,62.5394,105.212,7935.0
16.4296,51.4216,83.8549,8160.0
10.4335,36.0389,59.9382,8403.75
6.1428,22.3615,53.9428,8666.25
1.0027,14.6568,41.1156,8881.875
1.8336,9.5167,26.5856, 9135.0
