,2,3,4,6,8,10,15,20,25
10,0.017,0.027,0.037,0.052,0.052,,,,
20,,0.016,0.027,0.06,0.12,0.17,0.17,,
30,,,0.02,0.13,0.28,0.37,0.54,0.55,0.47
40,,,0.02,0.23,0.4,0.55,0.7,0.75,0.75
50,,,0.03,0.3,0.4,0.58,0.73,0.75,0.79
60,,0.01,0.13,0.38,0.57,0.68,0.8,0.86,0.91
80,,0.085,0.23,0.52,0.68,0.76,0.86,0.92,0.95
100,,0.14,0.32,0.6,0.73,0.81,0.9,0.94,0.96
150,0.025,0.25,0.43,0.66,0.78,0.83,0.92,0.95,0.96
200,0.039,0.3,0.46,0.69,0.81,0.87,0.93,0.95,0.96
300,0.095,0.33,0.51,0.72,0.82,0.87,0.93,0.96,0.97
400,0.098,0.36,0.51,0.73,0.83,0.88,0.93,0.96,0.97
500,0.1,0.36,0.52,0.74,0.83,0.88,0.93,0.96,0.97
600,0.17,0.4,0.54,0.72,0.83,0.88,0.94,0.98,1
1000,0.15,0.37,0.52,0.74,0.82,0.88,0.94,0.98,1
1400,0.11,0.34,0.49,0.71,0.83,0.88,0.94,0.95,1
1800,0.08,0.29,0.45,0.68,0.8,0.86,0.96,0.94,1
2400,0.04,0.22,0.39,0.62,0.75,0.83,0.92,0.96,1
3000,0.02,0.16,0.33,0.55,0.71,0.81,0.9,0.94,1
