D,N
1.0754, 194.8987
1.1379, 182.4511
1.1911, 175.8826
1.241, 163.4466
1.2941, 151.8898
1.3316, 143.2356
1.3693, 147.4992
1.3972, 132.1354
1.4441, 124.6067
1.4971, 114.1103
1.5439, 103.7346
1.5782, 92.9293
1.6186, 83.2496
1.6623, 74.0332
1.7027, 66.3218
1.7401, 58.9794
1.7743, 52.8359
1.8178, 47.3325
1.8521, 42.4022
1.8925, 37.708
1.9299, 33.2884
1.9735, 29.3868
2.014, 26.5196
2.0482, 23.7572
2.0825, 21.4393
2.123, 19.2061
2.1602, 17.0799
2.1977, 15.189
2.2349, 13.5074
2.2817, 12.0121
2.3159, 10.5267
2.3627, 9.4996
2.4031, 8.448
2.4436, 7.5127
2.4809, 6.681
2.5215, 6.0291
2.5588, 5.4011
2.5962, 4.91
2.6367, 4.3664
2.6803, 3.883
