Z,R,Location
3.50E+02,1,Florida
1.10E+03,2.5,Florida
3.50E+03,6.3,Florida
1.10E+04,14.5,Florida
3.50E+04,34.8,Florida
1.10E+05,68.5,Florida
3.50E+05,167.1,Florida
1.10E+06,257.7,Florida
1.10E+02,1,Marshall Islands
3.50E+02,1.6,Marshall Islands
1.10E+03,3.7,Marshall Islands
3.50E+03,8.7,Marshall Islands
1.10E+04,21.6,Marshall Islands
3.50E+04,48.4,Marshall Islands
1.10E+05,90.5,Marshall Islands
1.10E+02,0.6,Oregon
3.50E+02,1.1,Oregon
1.10E+03,2.3,Oregon
3.50E+03,5.4,Oregon
1.10E+04,9.5,Oregon
3.50E+04,18.7,Oregon
1.10E+02,0.5,Indonesia
3.50E+02,1.1,Indonesia
1.10E+03,2.4,Indonesia
3.50E+03,6,Indonesia
1.10E+04,14.4,Indonesia
3.50E+04,29.5,Indonesia
1.10E+05,65.7,Indonesia
3.50E+05,70,Indonesia
1.10E+06,123.8,Indonesia
1.10E+02,0.6,Alaska
3.50E+02,1.2,Alaska
1.10E+03,2.8,Alaska
3.50E+03,5.2,Alaska
1.10E+04,8.8,Alaska
1.10E+02,0.6,North Carolina
3.50E+02,1.6,North Carolina
1.10E+03,3.5,North Carolina
3.50E+03,7.8,North Carolina
1.10E+04,17.7,North Carolina
3.50E+04,38.7,North Carolina
1.10E+05,87.1,North Carolina
