c,g
5.9341e6, 6.6919
6.86e6, 6.6919
1.2976e7, 4.9866
2.3171e7, 4.5784
5.0569e6, 5.3798
1.146e7, 0.0981
8.9767e6, 0.2922
2.7501e7, 1.2839
1.9702e7, 1.2839
3.7632e6, 0.3921
3.1649e6, 0.5897
2.5835e6, 0.5953
1.2751e7, 1.19
7.1391e6, 1.19
1.2757e7, 1.4943
1.9157e7, 1.9864
1.706e7, 2.0633
9.8275e6, 1.5819
1.7075e7, 3.1623
1.4763e7, 2.4476
1.5642e7, 2.3121
1.1534e7, 2.1635
1.2583e7, 2.1842
8.7532e6, 1.7727
9.5523e6, 2.1028
9.1478e6, 2.3564
7.4653e6, 2.083
5.5009e6, 1.3851
4.623e6, 1.4802
6.9515e6, 3.6806
6.0113e6, 3.1623
5.7514e6, 2.2687
4.9026e6, 2.083
4.5583e6, 1.7896
3.6677e6, 1.8944
3.4139e6, 2.7428
4.1245e6, 3.646
2.9097e6, 2.3789
1.8297e6, 2.4708
1.7007e6, 1.8588
2.5934e6, 3.6806
2.2761e6, 3.6806
2.443e6, 1.597
2.5145e6, 1.5086
2.6641e6, 1.3591
2.2714e6, 1.3719
