Na,CDNC
377.1097, 156.9444
379.7468, 157.6389
382.384, 157.6389
385.0211, 158.3333
387.6582, 159.0278
387.6582, 159.7222
387.6582, 160.4167
390.2953, 161.1111
390.2953, 161.8056
392.9325, 161.8056
395.5695, 162.5
395.5695, 163.1944
395.5695, 163.8889
398.2068, 163.8889
400.8439, 164.5833
400.8439, 165.2778
400.8439, 165.9722
403.4809, 166.6667
403.4809, 167.3611
406.1181, 168.0556
406.1181, 168.75
406.1181, 169.4444
408.7553, 170.1389
411.3924, 170.8333
414.0295, 171.5278
416.6667, 172.2222
419.3038, 172.9167
419.3038, 173.6111
421.9409, 173.6111
421.9409, 174.3056
421.9409, 175.0
424.5781, 175.6944
427.2152, 176.3889
427.2152, 177.0833
429.8523, 177.7778
432.4895, 178.4722
432.4895, 179.1667
435.1266, 179.8611
437.7637, 180.5556
437.7637, 181.25
437.7637, 181.9444
440.4008, 182.6389
443.038, 182.6389
443.038, 183.3333
445.6751, 183.3333
448.3122, 184.0278
448.3122, 184.7222
450.9494, 184.7222
450.9494, 185.4167
453.5865, 186.1111
453.5865, 186.8056
456.2236, 186.8056
456.2236, 187.5
458.8608, 188.1944
458.8608, 188.8889
461.4979, 189.5833
461.4979, 190.2778
461.4979, 190.9722
464.135, 191.6667
466.7722, 191.6667
466.7722, 192.3611
469.4093, 192.3611
472.0464, 193.0556
472.0464, 193.75
474.6835, 193.75
474.6835, 194.4444
474.6835, 195.1389
474.6835, 195.8333
477.3207, 196.5278
479.9578, 197.2222
482.5949, 197.9167
482.5949, 198.6111
485.2321, 199.3056
487.8692, 199.3056
487.8692, 200.0
490.5063, 200.0
493.1435, 200.6944
493.1435, 201.3889
495.7806, 201.3889
495.7806, 202.0833
495.7806, 202.7778
495.7806, 203.4722
498.4177, 204.1667
501.0549, 204.8611
503.692, 205.5556
506.3291, 206.25
508.9662, 206.9444
511.6034, 207.6389
511.6034, 208.3333
511.6034, 209.0278
514.2405, 209.7222
516.8776, 210.4167
519.5148, 211.1111
519.5148, 211.8056
522.1519, 212.5
524.789, 212.5
524.789, 213.1944
527.4262, 213.1944
530.0633, 213.8889
530.0633, 214.5833
532.7004, 214.5833
532.7004, 215.2778
535.3376, 215.9722
535.3376, 216.6667
535.3376, 217.3611
537.9747, 218.0556
540.6118, 218.75
543.2489, 219.4444
543.2489, 220.1389
545.886, 220.8333
548.5232, 221.5278
551.1602, 222.2222
553.7974, 222.9167
553.7974, 223.6111
556.4346, 224.3056
559.0717, 225.0
561.7088, 225.6944
564.346, 226.3889
564.346, 227.0833
566.983, 227.7778
569.6202, 228.4722
572.2574, 229.1667
574.8944, 229.8611
574.8944, 230.5556
577.5316, 231.25
580.1688, 231.9444
582.8058, 232.6389
585.443, 232.6389
588.0802, 233.3333
590.7173, 234.0278
593.3544, 234.7222
595.9916, 235.4167
595.9916, 236.1111
598.6287, 236.1111
598.6287, 236.8056
601.2658, 237.5
603.903, 238.1944
606.5401, 238.8889
606.5401, 239.5833
609.1772, 239.5833
609.1772, 240.2778
611.8143, 240.9722
614.4515, 241.6667
614.4515, 242.3611
617.0886, 242.3611
617.0886, 243.0556
619.7257, 243.75
619.7257, 244.4444
622.3629, 245.1389
625.0, 245.8333
627.6371, 245.8333
627.6371, 246.5278
630.2743, 246.5278
632.9114, 247.2222
635.5485, 247.9167
635.5485, 248.6111
635.5485, 249.3056
638.1857, 250.0
640.8228, 250.6944
643.4599, 251.3889
646.097, 251.3889
646.097, 252.0833
648.7342, 252.0833
651.3713, 252.7778
654.0084, 253.4722
656.6456, 253.4722
659.2827, 254.1667
661.9198, 254.8611
661.9198, 255.5556
664.557, 255.5556
664.557, 256.25
664.557, 256.9444
664.557, 257.6389
667.1941, 258.3333
669.8312, 259.0278
672.4684, 259.7222
675.1055, 260.4167
677.7426, 261.1111
677.7426, 261.8056
680.3797, 262.5
683.0169, 263.1944
685.654, 263.8889
688.2911, 264.5833
690.9283, 265.2778
693.5654, 265.9722
696.2025, 266.6667
698.8397, 267.3611
701.4768, 268.0556
704.1139, 268.75
706.7511, 269.4444
709.3881, 269.4444
712.0253, 269.4444
714.6623, 269.4444
717.2995, 270.1389
719.9367, 270.8333
722.5737, 271.5278
725.211, 272.2222
727.8481, 272.9167
730.4852, 273.6111
733.1224, 274.3056
735.7595, 275.0
738.3966, 275.6944
741.0338, 276.3889
743.6709, 277.0833
746.308, 277.7778
748.9451, 278.4722
751.5823, 279.1667
754.2194, 279.8611
756.8565, 280.5556
756.8565, 281.25
756.8565, 281.9444
756.8565, 282.6389
759.4937, 283.3333
762.1308, 284.0278
764.7679, 284.0278
767.4051, 284.7222
770.0422, 284.7222
770.0422, 285.4167
772.6793, 286.1111
775.3165, 286.8056
777.9536, 287.5
780.5907, 288.1944
783.2278, 288.8889
785.865, 289.5833
788.5021, 290.2778
791.1392, 290.9722
793.7764, 291.6667
796.4135, 291.6667
799.0506, 292.3611
801.6878, 292.3611
801.6878, 293.0556
804.3249, 293.0556
806.962, 293.75
809.5992, 293.75
809.5992, 294.4444
812.2363, 294.4444
814.8734, 294.4444
817.5105, 295.1389
820.1477, 295.8333
822.7848, 295.8333
825.4219, 296.5278
828.0591, 297.2222
828.0591, 297.9167
830.6962, 297.9167
830.6962, 298.6111
833.3333, 299.3056
835.9705, 299.3056
838.6076, 299.3056
841.2447, 300.0
843.8819, 300.6944
846.519, 301.3889
849.1561, 302.0833
851.7932, 302.0833
854.4304, 302.7778
854.4304, 303.4722
857.0675, 303.4722
857.0675, 304.1667
859.7046, 304.8611
862.3418, 304.8611
864.9788, 304.8611
867.616, 305.5556
870.2532, 306.25
872.8902, 306.9444
875.5274, 306.9444
878.1646, 307.6389
878.1646, 308.3333
880.8016, 308.3333
880.8016, 309.0278
883.4388, 309.7222
886.0759, 309.7222
888.713, 310.4167
891.3502, 311.1111
893.9872, 311.8056
896.6245, 311.8056
899.2616, 311.8056
901.8987, 312.5
904.5359, 313.1944
907.173, 313.8889
909.8101, 314.5833
912.4473, 315.2778
915.0844, 315.2778
917.7215, 315.2778
920.3586, 315.9722
922.9958, 315.9722
925.6329, 316.6667
928.27, 317.3611
930.9072, 318.0556
933.5443, 318.75
936.1814, 319.4444
938.8186, 320.1389
941.4557, 320.1389
941.4557, 320.8333
944.0928, 320.8333
946.73, 321.5278
949.3671, 321.5278
949.3671, 322.2222
952.0042, 322.2222
954.6414, 322.2222
957.2785, 322.2222
959.9156, 322.9167
962.5527, 323.6111
965.1899, 324.3056
967.827, 325.0
970.4641, 325.0
970.4641, 325.6944
973.1013, 325.6944
975.7384, 325.6944
978.3755, 325.6944
981.0127, 326.3889
983.6498, 327.0833
986.2869, 327.0833
988.9241, 327.0833
991.5612, 327.7778
994.1983, 328.4722
996.8354, 328.4722
999.4726, 329.1667
1002.1097, 329.1667
1004.7468, 329.8611
1007.384, 330.5556
1010.0211, 331.25
1012.6582, 331.25
1015.2953, 331.25
1017.9325, 331.9444
1020.5695, 332.6389
1023.2068, 332.6389
1025.8439, 332.6389
1028.4809, 333.3333
1031.1181, 333.3333
1033.7553, 334.0278
1036.3924, 334.0278
1039.0295, 334.7222
1041.6667, 334.7222
1044.3038, 335.4167
1046.9409, 335.4167
1049.5781, 336.1111
1052.2152, 336.1111
1054.8523, 336.8056
1057.4895, 337.5
1060.1266, 337.5
1062.7637, 337.5
1065.4008, 337.5
1065.4008, 338.1944
1068.038, 338.8889
1070.6751, 338.8889
1073.3122, 338.8889
1075.9494, 338.8889
1078.5865, 339.5833
1081.2236, 340.2778
1083.8608, 340.2778
1086.4979, 340.2778
1089.135, 340.2778
1089.135, 340.9722
1091.7722, 341.6667
1094.4093, 341.6667
1097.0464, 341.6667
1099.6835, 341.6667
1102.3207, 342.3611
1104.9578, 342.3611
1104.9578, 343.0556
1107.5949, 343.0556
1110.2321, 343.0556
1112.8692, 343.75
1115.5063, 343.75
1118.1435, 344.4444
1120.7806, 344.4444
1123.4177, 344.4444
1126.0549, 344.4444
1128.692, 344.4444
1131.3291, 345.1389
1133.9662, 345.1389
1136.6034, 345.1389
1139.2405, 345.8333
1141.8776, 345.8333
1141.8776, 346.5278
1144.5148, 346.5278
1147.1519, 347.2222
1149.789, 347.2222
1152.4262, 347.2222
1155.0633, 347.2222
1157.7004, 347.2222
1160.3376, 347.2222
1162.9747, 347.9167
1165.6118, 347.9167
1165.6118, 348.6111
1168.2489, 348.6111
1170.886, 348.6111
1173.5232, 349.3056
1176.1602, 349.3056
