x,y
-0.5546, 1.6919
-0.3003, 1.7337
-6.6879e-3, 1.7337
0.2869, 1.7128
0.5611, 1.6501
0.8058, 1.577
1.0117, 1.4621
1.2665, 1.3159
1.4822, 1.1593
1.7077, 0.9607
1.8648, 0.752
2.0025, 0.4909
2.1303, 0.2402
2.1995, -0.0313
2.2197, -0.3133
2.1813, -0.5953
2.0742, -0.846
1.9279, -1.0444
1.7717, -1.201
1.6253, -1.3264
1.4005, -1.4413
1.156, -1.5248
0.9115, -1.5875
0.6474, -1.6397
0.3344, -1.671
0.08, -1.6815
-0.1745, -1.6815
-0.4192, -1.6606
-0.6933, -1.6292
-0.938, -1.577
-1.1828, -1.5248
-1.4179, -1.4413
-1.6432, -1.3473
-1.8294, -1.2219
-2.0061, -1.0131
-2.1436, -0.8042
-2.2225, -0.564
-2.2328, -0.3029
-2.2237, -0.0731
-2.1557, 0.1461
-2.078, 0.376
-1.9611, 0.5849
-1.8538, 0.7728
-1.7075, 0.9504
-1.5221, 1.1384
-1.3365, 1.295
-1.1802, 1.3995
-0.9554, 1.5248
-0.7697, 1.6292
-0.5546, 1.6919
