sc,N,Region,Regime
0.0198,18.2083,Eastern Pacific,Marine
0.04,25.4526,Eastern Pacific,Marine
0.0591,31.2031,Eastern Pacific,Marine
0.0791,36.5344,Eastern Pacific,Marine
0.0996,43.3532,Eastern Pacific,Marine
0.1984,64.3174,Eastern Pacific,Marine
0.3982,90.5047,Eastern Pacific,Marine
0.5974,105.9333,Eastern Pacific,Marine
0.7928,116.8749,Eastern Pacific,Marine
0.9971,123.1376,Eastern Pacific,Marine
0.0201,14.1649,Eastern Atlantic,Marine
0.0406,24.1411,Eastern Atlantic,Marine
0.0601,35.3751,Eastern Atlantic,Marine
0.078,45.138,Eastern Atlantic,Marine
0.0989,54.2738,Eastern Atlantic,Marine
0.2002,87.7366,Eastern Atlantic,Marine
0.4083,143.7145,Eastern Atlantic,Marine
0.5945,185.7551,Eastern Atlantic,Marine
0.0203,105.5625,Eastern Atlantic,Continental
0.0401,162.9457,Eastern Atlantic,Continental
0.0611,213.3855,Eastern Atlantic,Continental
0.0805,261.6819,Eastern Atlantic,Continental
0.1021,323.072,Eastern Atlantic,Continental
0.2036,547.0094,Eastern Atlantic,Continental
0.3967,914.0711,Eastern Atlantic,Continental
0.6181,1055.7346,Eastern Atlantic,Continental
0.0197,21.197,Southern Ocean,Marine
0.0401,29.4346,Southern Ocean,Marine
0.061,36.3209,Southern Ocean,Marine
0.081,42.2474,Southern Ocean,Marine
0.1012,49.1497,Southern Ocean,Marine
0.2016,73.4002,Southern Ocean,Marine
0.4018,115.5657,Southern Ocean,Marine
0.6032,159.5606,Southern Ocean,Marine
0.8069,186.8226,Southern Ocean,Marine
1.0073,202.1093,Southern Ocean,Marine
0.0206,75.8613,Florida,Coastal Marine
0.0403,106.0529,Florida,Coastal Marine
0.06,126.6197,Florida,Coastal Marine
0.0784,139.7041,Florida,Coastal Marine
0.101,154.1474,Florida,Coastal Marine
0.2026,193.8649,Florida,Coastal Marine
0.3972,253.6921,Florida,Coastal Marine
0.6051,298.8949,Florida,Coastal Marine
0.7909,334.1683,Florida,Coastal Marine
0.9949,359.1229,Florida,Coastal Marine
0.0198,151.8291,Florida,Continental
0.0401,202.6437,Florida,Continental
0.0598,240.3492,Florida,Continental
0.0818,283.2614,Florida,Continental
0.1006,316.7452,Florida,Continental
0.2035,476.143,Florida,Continental
0.4057,833.2586,Florida,Continental
0.6044,1098.499,Florida,Continental
0.8085,1294.7117,Florida,Continental
1.0171,1400.62,Florida,Continental
